Timestamp,Latitude,Longitude
1700948351315324783,-34.39610488185875,-70.80957926443642
1700948351331485748,-34.39610480516925,-70.80957917907213
1700948351442226171,-34.396104716199055,-70.80957913520257
1700948351553297758,-34.396104673105505,-70.80957904735202
1700948351692017078,-34.39610455818165,-70.80957893234573
1700948351815355300,-34.396104458437,-70.80957882566953
1700948351930729150,-34.39610451804022,-70.80957858705044
1700948352055684328,-34.39610451924435,-70.80957838685786
1700948352055777788,-34.39610451450618,-70.80957815395125
1700948352168358564,-34.39610452004478,-70.80957794920684
1700948352286963224,-34.396104543591996,-70.80957781977868
1700948352391905069,-34.39610455585737,-70.80957766509167
1700948352504482030,-34.39610459005072,-70.80957749622061
1700948352601105451,-34.39610460805031,-70.80957733255983
1700948352709026098,-34.39610462452635,-70.80957718898703
1700948352822235584,-34.396104619230194,-70.80957704743531
1700948352935322284,-34.3961046450407,-70.80957692758344
1700948352935398578,-34.39610456142909,-70.80957673284495
1700948353036238908,-34.39610450449367,-70.80957653789507
1700948353123422145,-34.39610442619488,-70.8095763520136
1700948353218879938,-34.396104378282274,-70.80957615582916
1700948353342810153,-34.39610429235324,-70.80957601109506
1700948353461101531,-34.39610423081015,-70.80957582598863
1700948353568396329,-34.39610416907766,-70.80957563752631
1700948353691691160,-34.39610410964354,-70.8095754548561
1700948353810713291,-34.39610402914279,-70.8095752675751
1700948353917055606,-34.39610396369229,-70.80957508131483
1700948354023410797,-34.396103872459186,-70.80957499081909
1700948354152725934,-34.39610376424851,-70.80957487751164
1700948354344291687,-34.39610368447115,-70.80957474832658
1700948354344401121,-34.39610360010516,-70.8095745991648
1700948354477492809,-34.396103503346495,-70.80957445873103
1700948354477649688,-34.39610345334262,-70.80957434206857
1700948354624848604,-34.39610337842078,-70.80957422448549
1700948354749714136,-34.396103288165754,-70.80957411071887
1700948354749817132,-34.396103200024825,-70.8095740168193
1700948354862473011,-34.396103134347,-70.80957391884127
1700948354978133916,-34.396103055353144,-70.80957381606238
1700948355092030048,-34.396102992274336,-70.80957372503048
1700948355186351776,-34.396102904617294,-70.80957358562027
1700948355290337324,-34.396102844399294,-70.80957350118813
1700948355416692495,-34.39610276638878,-70.80957341477301
1700948355545981884,-34.39610268280725,-70.80957332617305
1700948355645114898,-34.39610261061326,-70.80957324551599
1700948355645245075,-34.39610250955049,-70.80957315159735
1700948355748528718,-34.396102441017106,-70.80957302853659
1700948355877165794,-34.396102365337,-70.80957293626992
1700948355971644163,-34.396102301842745,-70.80957286989377
1700948356055288791,-34.39610224181724,-70.80957281039221
1700948356166333913,-34.39610218465668,-70.8095727373059
1700948356277079582,-34.39610212430443,-70.80957268214752
1700948356369185447,-34.39610205516179,-70.80957262303626
1700948356455114126,-34.39610199269099,-70.80957255600298
1700948356561737537,-34.396101981423655,-70.80957245408156
1700948356673586606,-34.39610199233963,-70.80957242819294
1700948356758421421,-34.396101944099335,-70.80957226232906
1700948356831756591,-34.39610179678152,-70.80957208299643
1700948356909304141,-34.396101591230114,-70.80957191627179
1700948357005777359,-34.39610134733526,-70.80957171529006
1700948357116743087,-34.396101007919476,-70.80957156617922
1700948357192530870,-34.396100615352836,-70.80957137689714
1700948357296826362,-34.396100173495334,-70.80957106473869
1700948357386704683,-34.39609977007063,-70.80957078999253
1700948357509897232,-34.396099393273886,-70.8095705508355
1700948357628687858,-34.396098940433035,-70.80957031661636
1700948357731140851,-34.396098445520344,-70.80957010336087
1700948357795031070,-34.39609803559401,-70.80956989642115
1700948357870286941,-34.39609753354525,-70.80956966856314
1700948357989525318,-34.39609709158575,-70.80956953672313
1700948358081780433,-34.39609672900861,-70.809569390722
