Timestamp,Position_X,Position_Y
1701012134862112760,3.4515001869189827,6.51178648539155
1701012134862222194,3.4514780680288633,6.512691229067917
1701012134862526893,3.451481993968627,6.5125301126433826
1701012134862793207,3.451464899085878,6.513229152571356
1701012134862978696,3.4514539651808165,6.513676438716768
1701012134863274335,3.4514579697492893,6.513511258032
1701012134864055395,3.4514321531447796,6.514561810883634
1701012134864580392,3.4514245675298323,6.514871103030124
1701012134865087032,3.451403312694899,6.515735540256131
1701012134865472793,3.451380309270006,6.516672255459125
1701012134886767387,3.451342975304035,6.518193702081264
1701012134886779308,3.4513228006187844,6.519018366194179
1701012134886787176,3.4512899064914104,6.520365313425336
1701012134886793136,3.4512629280974845,6.521473135303764
1701012134886798620,3.4512503125544827,6.52198516655158
1701012134886803388,3.4511949097808916,6.52424814350432
1701012134886808395,3.4511613181721135,6.525617246094295
1701012134886813163,3.4511162880842177,6.527447420767384
1701012134886818647,3.4510799751787116,6.528920902118596
1701012134886823415,3.451052068973851,6.53003875571953
1701012134886828184,3.4509818194115,6.532841494894912
1701012134886833190,3.450935729054445,6.534670142161427
1701012134886837959,3.4509156780676107,6.5354553088668155
1701012134886842966,3.450820982515839,6.539159206565109
1701012134886847734,3.4507796809067486,6.540777306319239
1701012134886852979,3.4506943711921467,6.544117641863553
1701012134886857748,3.4506409933864264,6.546208117025196
1701012134886862993,3.4506160776052823,6.547184151248907
1701012134886868000,3.450496113468379,6.55188221475078
1701012134886872768,3.4504369721194834,6.554191531015859
1701012134886877775,3.450346723459998,6.557706061372754
1701012134886882543,3.450287033811002,6.560024169841148
1701012134886887311,3.4502464748284662,6.561581754370148
1701012134886942625,3.4501156569343636,6.566607051902605
1701012134887016534,3.450038183969964,6.569560058838944
1701012134929926156,3.449946334963084,6.573044418213805
1701012134929937839,3.449880285999876,6.575542101611915
1701012134929944992,3.44982216885712,6.577724330362044
1701012134929950237,3.4496858165978392,6.5828331229803325
1701012134929955482,3.4496602151384597,6.5837894084127795
1701012134929960727,3.449591474463566,6.58636001915706
1701012134929965734,3.4494320200607156,6.59231829276225
1701012134929970741,3.449352146917371,6.595306789853413
1701012134929975509,3.4492273620712623,6.59998362988688
1701012134929980516,3.449198016601349,6.60108404714213
1701012134929985284,3.4491112557408283,6.604337372138613
1701012134929990053,3.4489581380309398,6.610078122526315
1701012134929994821,3.4488593916031207,6.613775212124671
1701012135385554075,3.4487427706279967,6.618133387855651
1701012135385794639,3.448712774070654,6.619253000373421
1701012135385897636,3.448602040530558,6.623353413015179
1701012135386283636,3.448460504724338,6.628555141606605
1701012135430135488,3.448341015584258,6.632903316423163
1701012135430147886,3.4482297749529236,6.636920199225539
1701012135430156230,3.4481997328217204,6.638002396370401
1701012135430162191,3.4480674503963735,6.642760434397917
1701012135430167198,3.4479350714104506,6.6475125708315135
1701012135430172443,3.4478013200912594,6.652302340880913
1701012135430177450,3.4477908095480134,6.652655931361168
1701012135430182218,3.4476663002765684,6.65705893312415
1701012135430186986,3.447515938526879,6.662334921171614
1701012135430192708,3.447394425059434,6.666561341103358
1701012135430197477,3.4472577326275053,6.671275847230517
1701012135430202007,3.4472338741504847,6.672121342626919
1701012135430207014,3.4471214819378106,6.676012881408679
1701012135430211544,3.446957127677589,6.681704650279445
1701012135430216550,3.446850950684075,6.685390730247104
1701012135430221080,3.4467188164240126,6.689982955934628
1701012135430225849,3.446677573809848,6.691402097854459
1701012135430230617,3.44658265004781,6.694684871084624
1701012135430235385,3.4463996003014805,6.7010052060651635
1701012135430240154,3.4463132566994403,6.703876216654291
1701012135430245161,3.446176731005335,6.708434752415509
1701012135430249929,3.446113424172119,6.710491488508367
1701012135430254697,3.4460359409703956,6.713002010085845
1701012135430259704,3.4458357568437075,6.719420791886192
1701012135430264472,3.4457492527326092,6.72214379388697
1701012135430269479,3.44559604219989,6.726930284730655
1701012135430274009,3.445495349999996,6.7300539071620245
1701012135430279016,3.445455262554887,6.73127632944076
1701012135430283784,3.4452265972507172,6.738299660595584
1701012135430288314,3.445151300861651,6.740558200227479
1701012135430293321,3.444980554776598,6.745694104113652
1701012135430297851,3.4448573477690863,6.749402181967974
1701012135430302619,3.4448391539778664,6.749941936354133
1701012135430307388,3.4445965217560626,6.757214222457124
1701012135474825382,3.4445177866315535,6.75961720481099
1701012135474872350,3.4443452982197824,6.764858024699861
1701012135474895477,3.444189648048857,6.769645422767519
1701012135474912405,3.443946288531471,6.777186211367277
1701012135474927902,3.443854551748522,6.78008923074068
1701012135474944114,3.443679884375399,6.785640763799272
1701012135474958896,3.4435406049893516,6.790125540234236
1701012135474974393,3.443507301294588,6.791136309640365
1701012135481971263,3.4432491505783362,6.7993425547862545
1701012135482170820,3.4431260501925642,6.803209608562691
1701012135526585578,3.4429352912919735,6.809150675395787
1701012135526606559,3.4426977551405553,6.816463963945739
1701012135526613950,3.442417880601748,6.824965853754341
1701012135526619672,3.4422339330469582,6.830553752610189
1701012135526624679,3.442037673244132,6.836543604492576
1701012135526629924,3.4418522025629956,6.842210179059667
1701012135526634693,3.4417310164470654,6.846035848057833
1701012135526639699,3.441451061819777,6.85486900154652
1701012135526644229,3.4412906641440877,6.860002309099497
1701012135526649713,3.4412219770662182,6.862210882764788
1701012135526654481,3.440848094362793,6.874320988937707
1701012135526659488,3.4406876770665726,6.879594102243386
1701012135526664495,3.4404260714015047,6.888287116000431
1701012135526669740,3.440254382304687,6.894043792949583
1701012135526674747,3.4401397157172355,6.897788827497884
1701012135526679277,3.4397897599054215,6.90933731261603
