Timestamp,Latitude,Longitude,Altitude
1700836330625562787,-34.3949692645097,-70.80956444216353,402.73833581764126
1700836330641200008,-34.39496991894087,-70.8095646088194,402.7568052594104
1700836330741831734,-34.39497056303294,-70.80956477906996,402.7665418109315
1700836330832358205,-34.394971181293315,-70.80956491684252,402.7585807995918
1700836330953101233,-34.39497184477783,-70.80956502753298,402.7640922521716
1700836331053763004,-34.394972452782,-70.80956509721476,402.77629010009116
1700836331140508711,-34.394973128773316,-70.80956527330792,402.7936118775521
1700836331140508711,-34.39497375427321,-70.80956541863749,402.8174040246902
1700836331315449734,-34.394974386669034,-70.8095655191688,402.8256124123208
1700836331377027487,-34.39497501039612,-70.80956565264516,402.83521571208195
1700836331485435037,-34.394975739402554,-70.80956577044459,402.86162940785994
1700836331587844100,-34.39497646244669,-70.80956594970277,402.8679821397526
1700836331688398692,-34.39497713225255,-70.80956607150482,402.8748435459482
1700836331768270064,-34.39497774555088,-70.80956609734129,402.87424545783085
1700836331869011096,-34.3949783517647,-70.80956616445434,402.8832776618731
1700836331938220163,-34.39497896577996,-70.80956627988665,402.8940903480649
1700836332064048797,-34.394979623036065,-70.80956641755508,402.9064237144721
1700836332064048797,-34.39498026570366,-70.80956654841405,402.9081289575115
1700836332268560346,-34.39498089197939,-70.80956658602364,402.9170234293099
1700836332374841916,-34.39498154709954,-70.80956661246725,402.91896256821104
1700836332460554374,-34.39498222791253,-70.80956663402036,402.92322408707287
1700836332588166197,-34.394982899507546,-70.80956665418981,402.9380896607605
1700836332673941500,-34.394983582468896,-70.80956672753558,402.94279959419134
1700836332775510191,-34.39498432799522,-70.80956689144239,402.937292981944
1700836332886253770,-34.394984925115864,-70.80956698016274,402.9492755594628
1700836332976844428,-34.394985596784906,-70.80956695613398,402.95691019559786
1700836333110489603,-34.39498625250612,-70.80956700195783,402.9804849404171
1700836333203344603,-34.394986905081176,-70.80956706999524,402.9905796101802
1700836333358211672,-34.39498755344536,-70.80956726141889,402.99365880218295
1700836333478295857,-34.394988223449225,-70.80956737703228,402.98805010640245
1700836333609134478,-34.39498888637912,-70.80956746244243,402.9902295126981
1700836333722240072,-34.394989501391215,-70.80956752000992,402.97673690368873
