Timestamp,Latitude,Longitude,Altitude
1694601036304740685,-34.39599964099418,-70.80955454767646,403.0127374799875
1694601036405427056,-34.39599927640737,-70.80955451095492,403.0197821581457
1694601036505247583,-34.39599884493399,-70.80955450734935,402.9854009950821
1694601036604903446,-34.39599841049903,-70.8095544398545,402.9808348342079
1694601036705953538,-34.39599796761466,-70.80955435193934,402.9934612055009
1694601036806623759,-34.395997584151644,-70.80955429007524,403.0153109757334
1694601036907191131,-34.395997148311025,-70.80955424628337,402.9988971000396
1694601037019776787,-34.395996711527,-70.80955413278818,402.9750046536567
1694601037103000322,-34.39599629569794,-70.8095541225631,402.99440197346826
1694601037195514526,-34.39599585635986,-70.80955410771486,402.9751753823332
1694601037301042448,-34.395995441393936,-70.80955407200574,402.9634202783609
1694601037434038441,-34.395994975785975,-70.80955395544872,402.97772367996623
1694601037517612332,-34.39599449119454,-70.80955385935667,403.0090665596396
1694601037619371250,-34.39599407999838,-70.8095537472723,403.00946577359065
1694601037703406960,-34.395993668972636,-70.80955372919013,402.9857438237037
1694601037703406960,-34.39599322491352,-70.80955366271563,402.9825788350954
1694601037914855347,-34.39599275207374,-70.80955357923514,402.9740316598211
1694601038013400011,-34.395992325918364,-70.8095534975521,402.9596934306174
1694601038122990888,-34.395991855519505,-70.80955345067291,402.9517891505792
1694601038183348410,-34.395991360297465,-70.8095534135625,402.9519325657671
1694601038316106675,-34.3959909813731,-70.8095534071509,402.9461372352047
1694601038416091503,-34.39599054331363,-70.80955334594675,402.94572928063576
1694601038509665859,-34.39599005940026,-70.80955323307663,402.93113359689363
1694601038625259898,-34.39598965830818,-70.80955318072546,402.9121362036116
1694601038696188388,-34.395989273007885,-70.80955314441154,402.89662294776724
1694601038804167084,-34.39598879258139,-70.80955301656472,402.89515488152574
1694601038954474303,-34.395988329555834,-70.80955297187676,402.8851115715501
1694601039024881582,-34.395987942880105,-70.80955300366591,402.848432302815
1694601039081516615,-34.39598749967139,-70.80955290782754,402.8460665375267
1694601039232432866,-34.39598705936742,-70.80955281893968,402.8433344380349
1694601039232432866,-34.39598664879918,-70.8095528730377,402.81707869666116
1694601039416157688,-34.39598615900513,-70.80955290926991,402.79490336740525
1694601039496604105,-34.395985755515596,-70.80955291114897,402.7878732153852
1694601039612432254,-34.39598534669542,-70.80955279994637,402.78779409965847
1694601039692850599,-34.39598488717293,-70.80955274490957,402.77175473381624
1694601039797309299,-34.39598444930162,-70.80955271378942,402.7714604514676
1694601039887838152,-34.39598403563208,-70.80955267512212,402.7612214606843
1694601040008522278,-34.39598361468395,-70.80955261705402,402.75844893903496
1694601040109128339,-34.39598323660187,-70.80955239634498,402.7927637652766
1694601040209411075,-34.3959828669651,-70.80955221495002,402.80791483107544
1694601040289902243,-34.39598249977987,-70.80955211834,402.84975092593464
1694601040408278306,-34.39598212259926,-70.80955191050718,402.9131773382086
1694601040468743837,-34.39598173276034,-70.80955169380603,402.94627427959597
