Timestamp,Position_X,Position_Y,Orientation_Z,Orientation_W,Vel_lin_X,Vel_ang_Z
1694601036334941011,0.3940074693631794,3.6318250319621055,0.673894276073222,0.738827790947084,0.5353761508067305,0.003970493488263385
1694601036365148270,0.397144665770765,3.664059988328417,0.6739828744611677,0.7387469694916263,0.5368997198263266,0.003970493488263385
1694601036405427056,0.3992268806115937,3.6856059174291964,0.6740419448076703,0.738693073366668,0.5379156068907529,0.003970493488263385
1694601036471827734,0.40037900645824276,3.707038884974309,0.6773227621888213,0.7356859899582875,0.5241058771226011,0.008644363772332075
1694601036505247583,0.40187295523150507,3.724501653196365,0.6774290225059928,0.7355881452732739,0.5247611462631647,0.008644363772332075
1694601036574715783,0.4001870882707845,3.7565082738884743,0.6806483142893405,0.7326103140518014,0.5210102828764822,0.013055628803784686
1694601036635120012,0.40391152144223447,3.7688025194531067,0.6771115962805597,0.7358803477348693,0.517914322620506,0.0074333205417392205
1694601036665691903,0.40650154419239515,3.8002094026378104,0.6772778363014752,0.7357273492638372,0.5189114425764821,0.0074333205417392205
1694601036705953538,0.40819994428075884,3.821045892551081,0.6773879223921535,0.7356259936932911,0.5195718612494988,0.0074333205417392205
1694601036766359279,0.41506361843609973,3.849186282612605,0.6739414536333997,0.7387847569316114,0.5175237638095675,0.0021142072931669706
1694601036806623759,0.4171075352486831,3.869936464131047,0.6739728983694038,0.7387560708810083,0.5181397717503062,0.0021142072931669706
1694601036866956416,0.42102724332552127,3.8912690404255343,0.6705991574539986,0.7418199040346567,0.5085521251358138,-0.0029034293017034837
1694601036907191131,0.4232663660449658,3.91161768150813,0.6705558272708093,0.741859071868209,0.5090140222594135,-0.0029034293017034837
1694601036965997325,0.42459697230281185,3.938953740883313,0.673941165818808,0.7387850194845493,0.5068386826628412,0.002158513845366514
1694601036999658738,0.42625373616003365,3.9559403141618246,0.6739680050785091,0.738760535038584,0.5071902364807186,0.002158513845366514
1694601037049941919,0.43211728089138446,3.957930388085796,0.6706641278394417,0.7417611661642587,0.4987045769864672,-0.0028689529636013573
1694601037070056702,0.4350759849313166,3.9828431330846685,0.670610626370279,0.7418095360665445,0.49906786392346375,-0.0028689529636013573
1694601037144380438,0.43305651512543236,4.004220060462892,0.6738942759005406,0.7388277911045888,0.5045924896661274,0.002198496454937981
1694601037185455962,0.43717250468834434,4.045654940194204,0.6739612399000973,0.7387667068245046,0.5053505513198124,0.002198496454937981
1694601037230648372,0.43442041074306476,4.053126736884702,0.6771115951649231,0.7358803487614092,0.5078277924637564,0.006961548763960259
1694601037280953012,0.4363036487561744,4.076012843741166,0.6772273601935902,0.7357738121224628,0.5082836415129036,0.006961548763960259
1694601037321167800,0.4387961429691838,4.106594292557781,0.6773818527281813,0.7356315827875639,0.5088920910790229,0.006961548763960259
1694601037371511572,0.44021903889496294,4.134523163626761,0.6806113526410096,0.7326446523766997,0.5010725492051216,0.011438380951565316
1694601037434038441,0.4424114406701908,4.165790814451542,0.6808733053995883,0.7324012165433909,0.5015101903630439,0.011438380951565316
1694601037504517373,0.45164929454897546,4.185233136566178,0.6772610075647875,0.7357428406938996,0.485764632404755,0.0057621953799289125
1694601037537673456,0.457233500003023,4.2050955724151216,0.6738942771743243,0.7388277899427546,0.5016481793979415,0.0005789334092425966
1694601037588024651,0.4600449055915458,4.230169734053606,0.6739050279623653,0.7388179838681809,0.5020031734563769,0.0005789334092425966
1694601037647866273,0.4675290761197663,4.25086952172996,0.6706641278824438,0.7417611661253782,0.49719188450578883,-0.004354796139108254
1694601037668020950,0.47071223217178887,4.274865531310072,0.6705855493933753,0.7418322053839298,0.49744205003828684,-0.004354796139108254
1694601037703406960,0.4730348235425387,4.292326187001078,0.6705283895324713,0.7418838715263936,0.49762401134390183,-0.004354796139108254
1694601037858685240,0.48195971420653794,4.403385893523651,0.6721842387345512,0.7403839201366085,0.5332946414352259,-0.0016799595747367551
1694601037904794168,0.48486074929176026,4.427828259920766,0.6721555627203896,0.7404099536770399,0.5340968459951421,-0.0016799595747367551
1694601037945038541,0.4829642345220695,4.398692766763651,0.6674212100903546,0.7446804202619582,0.4971272533436934,-0.00848482902794616
1694601037975228297,0.48629912012522203,4.423489490562082,0.6672622702741209,0.7448228397871711,0.4973152388315208,-0.00848482902794616
1694601038037210673,0.49046727930320794,4.44613195450294,0.664165585867256,0.747585496481576,0.49631870674585193,-0.012938052619561526
1694601038077495751,0.49433678013672167,4.47266020432944,0.6639044583047752,0.74781740434617,0.4964969904989588,-0.012938052619561526
1694601038122990888,0.496896687357709,4.490115306145895,0.6637326289825772,0.747969917325474,0.49661427610157527,-0.012938052619561526
1694601038173289266,0.4947733980988065,4.498496285173909,0.667421209222711,0.7446804210395854,0.4945076193231115,-0.007222518699844422
1694601038173289266,0.497333868382011,4.518235923640633,0.6673129866205776,0.7447774015687673,0.4946083024646957,-0.007222518699844422
1694601038222117806,0.49818219875626707,4.553623899262106,0.6706641264798724,0.7417611673935146,0.5240468146401512,-0.0019779391240957187
1694601038232178012,0.501045296951127,4.579069987724465,0.6706283053507951,0.7417935535324641,0.5247021972743896,-0.0019779391240957187
1694601038265749870,0.5030149229597647,4.596583551521048,0.6706036762148376,0.7418158190866149,0.5251527948355438,-0.0019779391240957187
1694601038326167523,0.4987711426991441,4.595805391690443,0.6738942761472181,0.7388277908795913,0.49474968511714945,0.0030399273587077037
1694601038366391598,0.5011022630031001,4.620577054565393,0.6739507439150667,0.73877628195302,0.49484989050236855,0.0030399273587077037
